xflr5 v6.44

 Calculated polar for: EPPLER 435 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.750 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-13.250,-0.1584, 0.12820, 0.12615,-0.0883,0.9698,0.0113,-1.8708, 0.0000,-0.3746
-13.000,-0.1496, 0.12421, 0.12216,-0.0908,0.9617,0.0113,-1.8937, 0.0000,-0.4266
-12.750,-0.1364, 0.11961, 0.11755,-0.0949,0.9558,0.0113,-1.9184, 0.0000,-0.5209
-12.500,-0.1207, 0.11464, 0.11257,-0.0999,0.9511,0.0113,-1.9460, 0.0000,-0.6619
-12.250,-0.1036, 0.10944, 0.10734,-0.1056,0.9457,0.0113,-1.9776, 0.0000,-0.8664
-12.000,-0.0848, 0.10396, 0.10183,-0.1121,0.9403,0.0113,-2.0143, 0.0000,-1.1900
-11.750,-0.0656, 0.09833, 0.09616,-0.1190,0.9331,0.0113,-2.0711, 0.0000,-1.7147
-11.500,-0.0476, 0.09272, 0.09049,-0.1259,0.9233,0.0113,-2.1442, 0.0000,-2.6018
-11.250,-0.0337, 0.08731, 0.08500,-0.1317,0.9076,0.0113,-2.2294, 0.0000,-3.9477
-11.000,-0.0271, 0.08228, 0.07987,-0.1357,0.8902,0.0113,-2.3341, 0.0000,-5.1076
-10.750,-0.2753, 0.03502, 0.03169,-0.1578,0.8493,0.0063,-6.4473, 0.0000,-0.3592
-10.500,-0.2879, 0.03215, 0.02856,-0.1572,0.8341,0.0063,-6.5212, 0.0000,-0.3290
-10.250,-0.2969, 0.02965, 0.02586,-0.1562,0.8244,0.0063,-6.5587, 0.0000,-0.3065
-10.000,-0.3046, 0.02762, 0.02366,-0.1542,0.8168,0.0063,-6.5650, 0.0000,-0.2849
 -9.750,-0.3049, 0.02580, 0.02163,-0.1528,0.8090,0.0064,-6.5273, 0.0000,-0.2787
 -9.500,-0.2979, 0.02410, 0.01969,-0.1515,0.8012,0.0064,-6.4434, 0.0000,-0.2858
 -9.250,-0.2867, 0.02255, 0.01791,-0.1505,0.7922,0.0065,-6.3292, 0.0000,-0.3023
 -9.000,-0.2718, 0.02109, 0.01626,-0.1498,0.7870,0.0066,-6.1915, 0.0000,-0.3289
 -8.750,-0.2551, 0.01973, 0.01474,-0.1492,0.7843,0.0067,-6.0399, 0.0000,-0.3631
 -8.500,-0.2365, 0.01848, 0.01334,-0.1486,0.7812,0.0067,-5.8751, 0.0000,-0.4077
