xflr5 v6.44

 Calculated polar for: EPPLER 435 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     1.000 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-0.1982, 0.13201, 0.13022,-0.0842,0.9797,0.0082,-2.3089, 0.0000,-0.2329
-13.750,-0.1895, 0.12847, 0.12668,-0.0866,0.9742,0.0084,-2.3011, 0.0000,-0.2661
-13.500,-0.1805, 0.12474, 0.12295,-0.0891,0.9682,0.0085,-2.2997, 0.0000,-0.3047
-13.250,-0.1690, 0.12060, 0.11880,-0.0925,0.9607,0.0087,-2.3025, 0.0000,-0.3622
-13.000,-0.1529, 0.11588, 0.11406,-0.0976,0.9545,0.0089,-2.3087, 0.0000,-0.4588
-12.750,-0.1341, 0.11074, 0.10890,-0.1038,0.9494,0.0091,-2.3224, 0.0000,-0.6033
-12.500,-0.1138, 0.10521, 0.10333,-0.1108,0.9441,0.0093,-2.3535, 0.0000,-0.8163
-12.250,-0.0974, 0.09865, 0.09673,-0.1185,0.9364,0.0091,-2.4838, 0.0000,-1.0744
-12.000,-0.3694, 0.03433, 0.03115,-0.1581,0.8857,0.0048,-8.6569, 0.0000,-0.2107
-11.750,-0.3767, 0.03166, 0.02823,-0.1583,0.8630,0.0048,-8.6583, 0.0000,-0.2010
-11.500,-0.3826, 0.02928, 0.02566,-0.1578,0.8493,0.0048,-8.6398, 0.0000,-0.1919
-11.250,-0.3863, 0.02726, 0.02341,-0.1568,0.8339,0.0048,-8.5967, 0.0000,-0.1837
-11.000,-0.3878, 0.02535, 0.02133,-0.1557,0.8244,0.0048,-8.5327, 0.0000,-0.1782
-10.750,-0.3876, 0.02364, 0.01947,-0.1543,0.8170,0.0049,-8.4475, 0.0000,-0.1739
-10.500,-0.3875, 0.02225, 0.01792,-0.1522,0.8084,0.0049,-8.3503, 0.0000,-0.1675
-10.250,-0.3814, 0.02096, 0.01644,-0.1508,0.7993,0.0049,-8.2108, 0.0000,-0.1697
-10.000,-0.3694, 0.01979, 0.01506,-0.1498,0.7896,0.0050,-8.0254, 0.0000,-0.1798
 -9.750,-0.3537, 0.01874, 0.01390,-0.1491,0.7864,0.0051,-7.7978, 0.0000,-0.1960
