xflr5 v6.44

 Calculated polar for: NACA 4412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.900 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-0.8308, 0.06156, 0.05906,-0.0714,1.0000,0.0133,-9.1252, 0.0000, 0.1454
-13.750,-0.9802, 0.03542, 0.03251,-0.0903,1.0000,0.0129,-10.7446, 0.0000, 0.1412
-13.500,-0.9870, 0.03242, 0.02933,-0.0900,0.9990,0.0129,-10.7132, 0.0000, 0.1426
-13.250,-0.9671, 0.02976, 0.02647,-0.0931,0.9969,0.0131,-10.4974, 0.0000, 0.1379
-13.000,-0.9451, 0.02777, 0.02430,-0.0951,0.9947,0.0133,-10.2505, 0.0000, 0.1338
-12.750,-0.9205, 0.02615, 0.02253,-0.0969,0.9927,0.0134,-9.9790, 0.0000, 0.1294
-12.500,-0.8935, 0.02480, 0.02104,-0.0986,0.9912,0.0135,-9.6871, 0.0000, 0.1246
-12.250,-0.8710, 0.02284, 0.01887,-0.1001,0.9888,0.0138,-9.4585, 0.0000, 0.1203
-12.000,-0.8469, 0.02113, 0.01700,-0.1013,0.9862,0.0143,-9.2127, 0.0000, 0.1158
-11.750,-0.8181, 0.02006, 0.01583,-0.1027,0.9847,0.0147,-8.9117, 0.0000, 0.1100
-11.500,-0.7875, 0.01922, 0.01491,-0.1042,0.9836,0.0151,-8.5950, 0.0000, 0.1035
-11.250,-0.7576, 0.01848, 0.01409,-0.1054,0.9821,0.0155,-8.2845, 0.0000, 0.0968
-11.000,-0.7310, 0.01782, 0.01335,-0.1057,0.9785,0.0159,-7.9975, 0.0000, 0.0915
-10.750,-0.7021, 0.01715, 0.01260,-0.1065,0.9759,0.0163,-7.7032, 0.0000, 0.0846
-10.500,-0.6725, 0.01652, 0.01188,-0.1073,0.9738,0.0167,-7.4093, 0.0000, 0.0767
-10.250,-0.6469, 0.01601, 0.01129,-0.1072,0.9692,0.0171,-7.1367, 0.0000, 0.0707
-10.000,-0.6191, 0.01555, 0.01076,-0.1075,0.9655,0.0175,-6.8552, 0.0000, 0.0630
 -9.750,-0.5923, 0.01499, 0.01010,-0.1076,0.9617,0.0178,-6.5891, 0.0000, 0.0550
