xflr5 v6.44

 Calculated polar for: NACA 4412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.300 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-0.2334, 0.12935, 0.12646,-0.0411,1.0000,0.0327,-1.3268, 0.0000, 0.0596
-13.750,-0.2414, 0.12751, 0.12464,-0.0423,1.0000,0.0329,-1.4360, 0.0000, 0.0607
-13.500,-0.2469, 0.12552, 0.12266,-0.0430,1.0000,0.0329,-1.5154, 0.0000, 0.0617
-13.250,-0.2425, 0.12300, 0.12015,-0.0421,1.0000,0.0332,-1.4725, 0.0000, 0.0623
-13.000,-0.2349, 0.12140, 0.11856,-0.0406,1.0000,0.0336,-1.3748, 0.0000, 0.0633
-12.750,-0.2332, 0.12011, 0.11729,-0.0398,1.0000,0.0341,-1.3334, 0.0000, 0.0657
-12.500,-0.2338, 0.11874, 0.11593,-0.0393,1.0000,0.0346,-1.3161, 0.0000, 0.0687
-12.250,-0.2352, 0.11702, 0.11422,-0.0387,1.0000,0.0352,-1.3119, 0.0000, 0.0724
-12.000,-0.2376, 0.11507, 0.11230,-0.0381,1.0000,0.0360,-1.3292, 0.0000, 0.0770
-11.750,-0.2413, 0.11295, 0.11020,-0.0375,1.0000,0.0368,-1.3585, 0.0000, 0.0823
-11.500,-0.2593, 0.10930, 0.10656,-0.0390,1.0000,0.0387,-1.5542, 0.0000, 0.0872
-10.750,-0.3568, 0.10832, 0.10516,-0.0439,1.0000,0.0322,-2.1607, 0.0000, 0.1110
-10.500,-0.3561, 0.10524, 0.10211,-0.0440,1.0000,0.0318,-2.1716, 0.0000, 0.1109
-10.250,-0.3580, 0.10185, 0.09875,-0.0442,1.0000,0.0310,-2.2127, 0.0000, 0.1116
-10.000,-0.4152, 0.08714, 0.08411,-0.0487,1.0000,0.0271,-3.0808, 0.0000, 0.1186
 -9.750,-0.4380, 0.08231, 0.07936,-0.0484,1.0000,0.0270,-3.2728, 0.0000, 0.1263
 -9.500,-0.4698, 0.07769, 0.07482,-0.0470,1.0000,0.0269,-3.4942, 0.0000, 0.1377
 -9.250,-0.5893, 0.02910, 0.02415,-0.0919,0.9776,0.0266,-5.6933, 0.0000, 0.0821
 -9.000,-0.5609, 0.02664, 0.02118,-0.0941,0.9747,0.0273,-5.5408, 0.0000, 0.0701
 -8.750,-0.5346, 0.02452, 0.01887,-0.0955,0.9710,0.0282,-5.3572, 0.0000, 0.0593
 -8.500,-0.5046, 0.02348, 0.01775,-0.0968,0.9672,0.0290,-5.1189, 0.0000, 0.0460
 -8.250,-0.4707, 0.02247, 0.01659,-0.0987,0.9649,0.0302,-4.8725, 0.0000, 0.0278
 -8.000,-0.4351, 0.02139, 0.01527,-0.1010,0.9633,0.0319,-4.6350, 0.0000, 0.0053
 -7.750,-0.4077, 0.02040, 0.01402,-0.1013,0.9576,0.0331,-4.4519, 0.0000,-0.0113
 -7.500,-0.3747, 0.01924, 0.01282,-0.1029,0.9547,0.0345,-4.2485, 0.0000,-0.0380
 -7.250,-0.3394, 0.01844, 0.01194,-0.1048,0.9524,0.0360,-4.0349, 0.0000,-0.0725
 -7.000,-0.3118, 0.01771, 0.01107,-0.1048,0.9458,0.0377,-3.8600, 0.0000,-0.1004
 -6.750,-0.2791, 0.01687, 0.01007,-0.1059,0.9418,0.0394,-3.6736, 0.0000,-0.1444
 -6.500,-0.2504, 0.01623, 0.00944,-0.1062,0.9362,0.0415,-3.4803, 0.0000,-0.1901
 -6.250,-0.2209, 0.01574, 0.00887,-0.1066,0.9305,0.0441,-3.2919, 0.0000,-0.2495
 -6.000,-0.1902, 0.01507, 0.00812,-0.1071,0.9263,0.0466,-3.1108, 0.0000,-0.3321
 -5.750,-0.1643, 0.01460, 0.00765,-0.1068,0.9187,0.0490,-2.9386, 0.0000,-0.4201
 -5.500,-0.1338, 0.01413, 0.00709,-0.1072,0.9140,0.0521,-2.7597, 0.0000,-0.5747
