xflr5 v6.44

 Calculated polar for: GOE 614

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.750 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-0.4384, 0.05506, 0.05191,-0.1341,0.9685,0.0251,-5.4437, 0.0000,-0.1023
-13.750,-0.4468, 0.04904, 0.04573,-0.1408,0.9639,0.0251,-5.5321, 0.0000,-0.1098
-13.250,-0.4505, 0.03970, 0.03609,-0.1519,0.9502,0.0251,-5.5908, 0.0000,-0.1290
-13.000,-0.4383, 0.03563, 0.03185,-0.1588,0.9437,0.0252,-5.5562, 0.0000,-0.1541
-12.750,-0.4244, 0.03227, 0.02833,-0.1648,0.9340,0.0253,-5.5009, 0.0000,-0.1801
-12.500,-0.3967, 0.02927, 0.02513,-0.1725,0.9250,0.0254,-5.3938, 0.0000,-0.2281
-12.250,-0.3695, 0.02700, 0.02268,-0.1783,0.9135,0.0256,-5.2745, 0.0000,-0.2774
-12.000,-0.3441, 0.02533, 0.02083,-0.1818,0.8998,0.0257,-5.1491, 0.0000,-0.3253
-11.750,-0.3326, 0.02420, 0.01953,-0.1814,0.8821,0.0258,-5.0569, 0.0000,-0.3424
-11.500,-0.3257, 0.02337, 0.01856,-0.1794,0.8656,0.0260,-4.9711, 0.0000,-0.3474
-11.250,-0.3200, 0.02277, 0.01781,-0.1766,0.8509,0.0261,-4.8855, 0.0000,-0.3478
-11.000,-0.3105, 0.02219, 0.01709,-0.1743,0.8374,0.0263,-4.7869, 0.0000,-0.3574
-10.750,-0.2991, 0.02161, 0.01639,-0.1722,0.8262,0.0264,-4.6837, 0.0000,-0.3719
-10.500,-0.2864, 0.02102, 0.01569,-0.1702,0.8150,0.0265,-4.5783, 0.0000,-0.3911
-10.250,-0.2720, 0.02047, 0.01503,-0.1684,0.8059,0.0266,-4.4672, 0.0000,-0.4166
-10.000,-0.2566, 0.01996, 0.01443,-0.1666,0.7964,0.0266,-4.3524, 0.0000,-0.4480
