xflr5 v6.44

 Calculated polar for: AG35

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.900 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-13.500,-0.5597, 0.14119, 0.13944, 0.0185,1.0000,0.0086,-2.1540, 0.0000, 0.2759
-13.250,-0.5548, 0.13746, 0.13572, 0.0170,1.0000,0.0088,-2.1477, 0.0000, 0.2736
-13.000,-0.5503, 0.13365, 0.13191, 0.0155,1.0000,0.0090,-2.1503, 0.0000, 0.2712
-12.750,-0.5462, 0.12973, 0.12800, 0.0139,1.0000,0.0092,-2.1642, 0.0000, 0.2687
-12.500,-0.5426, 0.12561, 0.12389, 0.0121,1.0000,0.0096,-2.2015, 0.0000, 0.2658
-11.500,-0.5539, 0.10168, 0.10000, 0.0018,1.0000,0.0077,-3.3842, 0.0000, 0.2476
-11.250,-0.5564, 0.09635, 0.09469,-0.0009,1.0000,0.0077,-3.5630, 0.0000, 0.2430
-11.000,-0.5611, 0.09054, 0.08889,-0.0041,1.0000,0.0077,-3.7881, 0.0000, 0.2376
-10.750,-0.5695, 0.08389, 0.08227,-0.0082,1.0000,0.0077,-4.0918, 0.0000, 0.2309
-10.500,-0.5851, 0.07570, 0.07411,-0.0143,1.0000,0.0077,-4.5351, 0.0000, 0.2212
-10.250,-0.7030, 0.02239, 0.01876,-0.0492,1.0000,0.0078,-8.7511, 0.0000, 0.1765
-10.000,-0.6869, 0.01937, 0.01534,-0.0486,1.0000,0.0083,-8.5809, 0.0000, 0.1759
 -9.750,-0.6635, 0.01861, 0.01450,-0.0480,1.0000,0.0085,-8.1798, 0.0000, 0.1744
 -9.500,-0.6403, 0.01785, 0.01365,-0.0473,1.0000,0.0088,-7.7977, 0.0000, 0.1729
 -9.250,-0.6179, 0.01698, 0.01265,-0.0465,1.0000,0.0090,-7.4492, 0.0000, 0.1717
 -8.750,-0.5604, 0.01506, 0.01041,-0.0474,0.9958,0.0097,-6.7078, 0.0000, 0.1625
 -8.500,-0.5290, 0.01421, 0.00940,-0.0482,0.9915,0.0101,-6.3280, 0.0000, 0.1558
 -8.250,-0.4967, 0.01359, 0.00866,-0.0492,0.9864,0.0104,-5.9337, 0.0000, 0.1479
 -8.000,-0.4668, 0.01246, 0.00739,-0.0499,0.9793,0.0111,-5.6316, 0.0000, 0.1401
 -7.750,-0.4357, 0.01197, 0.00685,-0.0506,0.9719,0.0116,-5.2778, 0.0000, 0.1308
 -7.500,-0.4065, 0.01150, 0.00631,-0.0508,0.9619,0.0121,-4.9537, 0.0000, 0.1219
 -7.250,-0.3792, 0.01105, 0.00579,-0.0505,0.9495,0.0126,-4.6524, 0.0000, 0.1136
 -7.000,-0.3530, 0.01064, 0.00529,-0.0499,0.9361,0.0131,-4.3652, 0.0000, 0.1053
 -6.750,-0.3269, 0.01030, 0.00485,-0.0493,0.9230,0.0136,-4.0817, 0.0000, 0.0957
 -6.500,-0.3011, 0.00980, 0.00425,-0.0487,0.9100,0.0143,-3.8178, 0.0000, 0.0846
 -6.250,-0.2748, 0.00948, 0.00387,-0.0482,0.8963,0.0153,-3.5421, 0.0000, 0.0707
 -6.000,-0.2480, 0.00925, 0.00358,-0.0477,0.8825,0.0163,-3.2962, 0.0000, 0.0533
 -5.750,-0.2209, 0.00902, 0.00326,-0.0474,0.8688,0.0173,-3.0621, 0.0000, 0.0311
 -5.500,-0.1937, 0.00874, 0.00289,-0.0470,0.8550,0.0185,-2.8381, 0.0000, 0.0021
 -5.250,-0.1663, 0.00849, 0.00260,-0.0468,0.8405,0.0205,-2.6101, 0.0000,-0.0370
 -5.000,-0.1386, 0.00834, 0.00238,-0.0465,0.8251,0.0225,-2.3836, 0.0000,-0.0923
 -4.750,-0.1111, 0.00815, 0.00213,-0.0463,0.8099,0.0261,-2.1779, 0.0000,-0.1746
 -4.500,-0.0833, 0.00803, 0.00194,-0.0461,0.7957,0.0299,-1.9879, 0.0000,-0.3134
 -4.250,-0.0555, 0.00788, 0.00175,-0.0459,0.7819,0.0370,-1.8031, 0.0000,-0.5927
 -4.000,-0.0276, 0.00773, 0.00160,-0.0458,0.7682,0.0496,-1.6205, 0.0000,-1.4385
 -3.750, 0.0002, 0.00756, 0.00147,-0.0457,0.7542,0.0717,-1.4414, 0.0000,187.1608
 -3.500, 0.0281, 0.00739, 0.00135,-0.0457,0.7390,0.1048,-1.2675, 0.0000, 1.9026
 -3.250, 0.0559, 0.00717, 0.00125,-0.0457,0.7221,0.1522,-1.0992, 0.0000, 1.0799
 -3.000, 0.0836, 0.00698, 0.00116,-0.0457,0.7009,0.2087,-0.9545, 0.0000, 0.8045
 -2.750, 0.1111, 0.00683, 0.00109,-0.0456,0.6605,0.2676,-0.8152, 0.0000, 0.6664
 -2.500, 0.1378, 0.00684, 0.00103,-0.0455,0.6061,0.3274,-0.6823, 0.0000, 0.5842
 -2.250, 0.1652, 0.00672, 0.00103,-0.0455,0.5833,0.4011,-0.5611, 0.0000, 0.5286
 -2.000, 0.1925, 0.00645, 0.00103,-0.0456,0.5672,0.5122,-0.4630, 0.0000, 0.4890
 -1.750, 0.2191, 0.00609, 0.00105,-0.0455,0.5533,0.6528,-0.4893, 0.0000, 0.4591
 -1.500, 0.2443, 0.00573, 0.00109,-0.0448,0.5414,0.7926,-0.5161, 0.0000, 0.4347
 -1.250, 0.2661, 0.00547, 0.00114,-0.0431,0.5321,0.9077,-0.5425, 0.0000, 0.4127
 -1.000, 0.2982, 0.00545, 0.00114,-0.0437,0.5224,0.9769,-0.5763, 0.0000, 0.3968
 -0.750, 0.3374, 0.00550, 0.00114,-0.0462,0.5127,1.0000,-0.6173, 0.0000, 0.3868
 -0.500, 0.3649, 0.00557, 0.00116,-0.0461,0.5042,1.0000,-0.6512, 0.0000, 0.3758
  0.000, 0.4203, 0.00572, 0.00121,-0.0459,0.4862,1.0000,-0.7239, 0.0000, 0.3583
  0.250, 0.4481, 0.00580, 0.00124,-0.0459,0.4771,1.0000,-0.7629, 0.0000, 0.3511
  0.500, 0.4760, 0.00589, 0.00128,-0.0459,0.4671,1.0000,-0.8031, 0.0000, 0.3448
