xflr5 v6.44,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 23015,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.005     Re =     0.500 e 6     Ncrit =   7.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14,-1.0515,0.04122,0.03649,-0.0523,1,0.0208,-7.8315,0,0.182
-13.75,-1.0532,0.03876,0.03386,-0.0516,1,0.021,-7.7651,0,0.1833
-13.5,-1.053,0.0366,0.03153,-0.0505,1,0.0213,-7.6849,0,0.1848
-13.25,-1.0507,0.03469,0.02946,-0.0491,1,0.0215,-7.5914,0,0.1865
-13,-1.0466,0.03301,0.02762,-0.0475,1,0.0217,-7.4854,0,0.1883
-12.75,-1.0407,0.03155,0.026,-0.0457,1,0.0219,-7.3676,0,0.1901
-12.5,-1.0332,0.03028,0.02458,-0.0438,1,0.0221,-7.239,0,0.1921
-12.25,-1.0259,0.0289,0.02306,-0.0416,1,0.0224,-7.1152,0,0.1942
-12,-1.0178,0.02754,0.02163,-0.0394,1,0.0227,-6.9819,0,0.1964
-11.75,-1.0077,0.02664,0.02068,-0.0372,1,0.023,-6.8269,0,0.1986
-11.5,-0.9972,0.0259,0.01991,-0.0347,1,0.0233,-6.6711,0,0.201
-11.25,-0.9851,0.02522,0.01919,-0.0324,1,0.0236,-6.5185,0,0.2033
-11,-0.9719,0.02456,0.01848,-0.0302,1,0.0239,-6.3639,0,0.2054
-10.75,-0.9589,0.02393,0.0178,-0.0279,1,0.0243,-6.2125,0,0.2077
-10.5,-0.9461,0.02333,0.01713,-0.0255,1,0.0247,-6.0636,0,0.2102
-10.25,-0.9333,0.02274,0.01648,-0.023,1,0.0252,-5.9176,0,0.2128
-10,-0.9206,0.02217,0.01583,-0.0204,1,0.0257,-5.7749,0,0.2155
-9.75,-0.908,0.02165,0.01523,-0.0177,1,0.0261,-5.634,0,0.2184
-9.5,-0.8957,0.02112,0.01462,-0.015,1,0.0265,-5.4964,0,0.2215
-9.25,-0.8857,0.0203,0.01379,-0.012,1,0.027,-5.371,0,0.225
-9,-0.866,0.01972,0.0132,-0.0108,0.9992,0.0275,-5.2002,0,0.2263
-8.75,-0.8328,0.01913,0.01261,-0.0123,0.9969,0.0281,-4.9818,0,0.2242
-8.5,-0.7995,0.01855,0.012,-0.0138,0.9943,0.0289,-4.7697,0,0.2219
-8.25,-0.7662,0.01796,0.01136,-0.0152,0.9917,0.0297,-4.5639,0,0.2195
-8,-0.7326,0.01741,0.01074,-0.0166,0.9887,0.0306,-4.3621,0,0.2168
-7.75,-0.7001,0.01669,0.01001,-0.0179,0.9856,0.0314,-4.1674,0,0.214
-7.5,-0.6666,0.01617,0.00952,-0.0193,0.9822,0.0325,-3.9617,0,0.2107
-7.25,-0.6313,0.01573,0.00907,-0.021,0.9794,0.0337,-3.7582,0,0.2065
-7,-0.5988,0.01528,0.00858,-0.0221,0.9746,0.035,-3.585,0,0.203
-6.75,-0.5679,0.01475,0.00803,-0.0228,0.9691,0.036,-3.4219,0,0.1998
-6.5,-0.5373,0.01424,0.00754,-0.0235,0.9632,0.0373,-3.2555,0,0.1963
