xflr5 v6.44

 Calculated polar for: EPPLER 395

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.750 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-13.500,-0.2680, 0.14033, 0.13844,-0.0541,0.9970,0.0067,-2.7800, 0.0000, 0.0223
-13.250,-0.2589, 0.13681, 0.13491,-0.0566,0.9963,0.0066,-2.7234, 0.0000, 0.0051
-13.000,-0.2511, 0.13285, 0.13096,-0.0590,0.9952,0.0065,-2.7138, 0.0000,-0.0119
-12.750,-0.2455, 0.12818, 0.12628,-0.0616,0.9941,0.0063,-2.7942, 0.0000,-0.0283
-12.500,-0.4800, 0.06705, 0.06458,-0.0863,0.9917,0.0046,-8.8881, 0.0000, 0.0489
-12.250,-0.4914, 0.05835, 0.05576,-0.0935,0.9889,0.0046,-9.1807, 0.0000, 0.0390
-12.000,-0.5659, 0.05145, 0.04861,-0.1019,0.9854,0.0044,-10.2683, 0.0000, 0.0500
-11.750,-0.5717, 0.04347, 0.04048,-0.1117,0.9771,0.0044,-10.4743, 0.0000, 0.0352
-11.500,-0.5755, 0.03569, 0.03252,-0.1217,0.9626,0.0044,-10.6237, 0.0000, 0.0200
-11.250,-0.5501, 0.02656, 0.02303,-0.1414,0.9520,0.0044,-10.5581, 0.0000,-0.0253
-11.000,-0.5196, 0.02339, 0.01964,-0.1486,0.9443,0.0045,-10.1927, 0.0000,-0.0544
-10.750,-0.4878, 0.02133, 0.01740,-0.1532,0.9367,0.0046,-9.7686, 0.0000,-0.0830
-10.500,-0.4559, 0.01973, 0.01562,-0.1568,0.9283,0.0047,-9.3363, 0.0000,-0.1132
-10.250,-0.4257, 0.01841, 0.01413,-0.1593,0.9187,0.0049,-8.9204, 0.0000,-0.1440
-10.000,-0.3976, 0.01730, 0.01284,-0.1610,0.9083,0.0051,-8.5268, 0.0000,-0.1752
 -9.750,-0.3709, 0.01637, 0.01173,-0.1620,0.8980,0.0053,-8.1788, 0.0000,-0.2076
 -9.500,-0.3451, 0.01555, 0.01074,-0.1626,0.8878,0.0055,-7.8607, 0.0000,-0.2426
 -9.250,-0.3198, 0.01467, 0.00973,-0.1632,0.8782,0.0057,-7.5337, 0.0000,-0.2824
 -9.000,-0.2937, 0.01404, 0.00897,-0.1635,0.8693,0.0061,-7.1950, 0.0000,-0.3299
 -8.750,-0.2674, 0.01346, 0.00826,-0.1638,0.8609,0.0065,-6.8716, 0.0000,-0.3869
 -8.500,-0.2410, 0.01286, 0.00753,-0.1641,0.8527,0.0070,-6.5543, 0.0000,-0.4565
 -8.250,-0.2142, 0.01237, 0.00694,-0.1643,0.8450,0.0077,-6.2275, 0.0000,-0.5446
 -8.000,-0.1872, 0.01187, 0.00635,-0.1646,0.8378,0.0088,-5.9106, 0.0000,-0.6591
 -7.750,-0.1600, 0.01143, 0.00582,-0.1648,0.8310,0.0104,-5.5935, 0.0000,-0.8139
 -7.500,-0.1326, 0.01103, 0.00534,-0.1650,0.8242,0.0132,-5.2740, 0.0000,-1.0336
 -7.250,-0.1050, 0.01065, 0.00492,-0.1653,0.8177,0.0172,-4.9518, 0.0000,-1.3703
 -7.000,-0.0773, 0.01033, 0.00457,-0.1655,0.8117,0.0221,-4.6283, 0.0000,-1.9522
 -6.750,-0.0494, 0.01008, 0.00426,-0.1657,0.8055,0.0271,-4.3069, 0.0000,-3.1945
 -6.500,-0.0214, 0.00981, 0.00397,-0.1660,0.7997,0.0328,-3.9896, 0.0000,-7.6938
 -6.250, 0.0066, 0.00959, 0.00372,-0.1662,0.7943,0.0392,-3.6785, 0.0000,25.8617
 -6.000, 0.0348, 0.00937, 0.00348,-0.1664,0.7885,0.0466,-3.3752, 0.0000, 5.1409
 -5.750, 0.0631, 0.00916, 0.00325,-0.1666,0.7833,0.0551,-3.0801, 0.0000, 2.9508
 -5.500, 0.0914, 0.00897, 0.00305,-0.1669,0.7779,0.0645,-2.7938, 0.0000, 2.1145
 -5.250, 0.1198, 0.00879, 0.00286,-0.1671,0.7728,0.0747,-2.5165, 0.0000, 1.6727
 -5.000, 0.1482, 0.00862, 0.00269,-0.1673,0.7678,0.0862,-2.2484, 0.0000, 1.4003
 -4.500, 0.2051, 0.00833, 0.00239,-0.1678,0.7580,0.1113,-1.7403, 0.0000, 1.0812
 -4.250, 0.2337, 0.00821, 0.00227,-0.1680,0.7532,0.1247,-1.5008, 0.0000, 0.9798
 -4.000, 0.2623, 0.00809, 0.00216,-0.1682,0.7486,0.1390,-1.2717, 0.0000, 0.9006
 -3.750, 0.2909, 0.00798, 0.00206,-0.1685,0.7439,0.1539,-1.0891, 0.0000, 0.8368
 -3.500, 0.3194, 0.00789, 0.00197,-0.1687,0.7393,0.1703,-0.9805, 0.0000, 0.7845
 -3.250, 0.3481, 0.00779, 0.00190,-0.1689,0.7347,0.1869,-0.8864, 0.0000, 0.7406
 -3.000, 0.3766, 0.00772, 0.00184,-0.1691,0.7302,0.2032,-0.7991, 0.0000, 0.7035
 -2.750, 0.4053, 0.00765, 0.00178,-0.1693,0.7258,0.2200,-0.7160, 0.0000, 0.6715
 -2.500, 0.4338, 0.00759, 0.00174,-0.1695,0.7212,0.2375,-0.7082, 0.0000, 0.6438
 -2.250, 0.4624, 0.00754, 0.00171,-0.1697,0.7169,0.2548,-0.7243, 0.0000, 0.6195
 -2.000, 0.4909, 0.00749, 0.00168,-0.1699,0.7122,0.2718,-0.7406, 0.0000, 0.5980
 -1.750, 0.5195, 0.00746, 0.00166,-0.1701,0.7079,0.2889,-0.7573, 0.0000, 0.5788
 -1.500, 0.5480, 0.00743, 0.00165,-0.1703,0.7032,0.3067,-0.7743, 0.0000, 0.5617
 -1.250, 0.5764, 0.00741, 0.00165,-0.1704,0.6988,0.3248,-0.7916, 0.0000, 0.5462
 -1.000, 0.6049, 0.00737, 0.00165,-0.1706,0.6940,0.3430,-0.8092, 0.0000, 0.5322
 -0.750, 0.6333, 0.00736, 0.00166,-0.1708,0.6896,0.3620,-0.8271, 0.0000, 0.5194
 -0.500, 0.6617, 0.00734, 0.00168,-0.1709,0.6847,0.3821,-0.8454, 0.0000, 0.5077
 -0.250, 0.6900, 0.00733, 0.00171,-0.1711,0.6802,0.4034,-0.8639, 0.0000, 0.4970
  0.000, 0.7183, 0.00731, 0.00174,-0.1712,0.6752,0.4253,-0.8828, 0.0000, 0.4871
  0.250, 0.7465, 0.00731, 0.00178,-0.1713,0.6705,0.4484,-0.9020, 0.0000, 0.4779
  0.750, 0.8029, 0.00730, 0.00188,-0.1716,0.6603,0.4980,-0.9415, 0.0000, 0.4615
  1.000, 0.8308, 0.00731, 0.00194,-0.1716,0.6549,0.5243,-0.9619, 0.0000, 0.4541
  1.250, 0.8588, 0.00731, 0.00201,-0.1717,0.6492,0.5519,-0.9831, 0.0000, 0.4471
  1.500, 0.8865, 0.00733, 0.00208,-0.1717,0.6435,0.5806,-1.0052, 0.0000, 0.4406
  1.750, 0.9143, 0.00734, 0.00217,-0.1718,0.6371,0.6106,-1.0282, 0.0000, 0.4345
  2.250, 0.9692, 0.00738, 0.00235,-0.1717,0.6238,0.6743,-1.0779, 0.0000, 0.4232
  2.500, 0.9961, 0.00740, 0.00246,-0.1715,0.6163,0.7082,-1.1060, 0.0000, 0.4179
  2.750, 1.0229, 0.00743, 0.00257,-0.1713,0.6083,0.7441,-1.1363, 0.0000, 0.4129
  3.000, 1.0492, 0.00745, 0.00269,-0.1710,0.6000,0.7821,-1.1689, 0.0000, 0.4081
  3.250, 1.0745, 0.00748, 0.00281,-0.1705,0.5913,0.8239,-1.2043, 0.0000, 0.4035
  3.500, 1.0975, 0.00749, 0.00293,-0.1694,0.5820,0.8743,-1.2403, 0.0000, 0.3989
  3.750, 1.1168, 0.00741, 0.00296,-0.1674,0.5725,1.0000,-1.2757, 0.0000, 0.3941
  4.000, 1.1432, 0.00756, 0.00309,-0.1672,0.5622,1.0000,-1.3206, 0.0000, 0.3901
  4.250, 1.1692, 0.00773, 0.00322,-0.1669,0.5512,1.0000,-1.3706, 0.0000, 0.3863
  4.500, 1.1950, 0.00790, 0.00337,-0.1666,0.5390,1.0000,-1.4264, 0.0000, 0.3827
  4.750, 1.2202, 0.00810, 0.00353,-0.1661,0.5251,1.0000,-1.4866, 0.0000, 0.3791
  5.000, 1.2449, 0.00833, 0.00372,-0.1656,0.5100,1.0000,-1.5561, 0.0000, 0.3757
  5.250, 1.2688, 0.00858, 0.00392,-0.1649,0.4934,1.0000,-1.6300, 0.0000, 0.3723
  5.500, 1.2922, 0.00887, 0.00414,-0.1642,0.4747,1.0000,-1.7149, 0.0000, 0.3691
  5.750, 1.3148, 0.00920, 0.00440,-0.1633,0.4536,1.0000,-1.8246, 0.0000, 0.3659
  6.000, 1.3359, 0.00959, 0.00469,-0.1622,0.4292,1.0000,-1.9400, 0.0000, 0.3627
  6.250, 1.3564, 0.01002, 0.00502,-0.1609,0.4028,1.0000,-2.1009, 0.0000, 0.3596
  6.500, 1.3748, 0.01055, 0.00541,-0.1593,0.3722,1.0000,-2.3009, 0.0000, 0.3565
  6.750, 1.3916, 0.01117, 0.00586,-0.1575,0.3377,1.0000,-2.5295, 0.0000, 0.3534
