xflr5 v6.44

 Calculated polar for: NACA0018

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.350 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-1.1893, 0.03337, 0.02667,-0.0417,1.0000,0.0697,-4.7332, 0.0000, 0.1914
-13.750,-1.1795, 0.03198, 0.02519,-0.0412,1.0000,0.0712,-4.6383, 0.0000, 0.1921
-13.500,-1.1682, 0.03074, 0.02386,-0.0405,1.0000,0.0724,-4.5386, 0.0000, 0.1928
-13.250,-1.1648, 0.02897, 0.02208,-0.0394,1.0000,0.0749,-4.4659, 0.0000, 0.1942
-13.000,-1.1583, 0.02753, 0.02062,-0.0382,1.0000,0.0775,-4.3816, 0.0000, 0.1956
-12.750,-1.1492, 0.02635, 0.01942,-0.0369,1.0000,0.0800,-4.2883, 0.0000, 0.1969
-12.500,-1.1381, 0.02534, 0.01838,-0.0357,1.0000,0.0827,-4.1992, 0.0000, 0.1981
-12.250,-1.1251, 0.02450, 0.01749,-0.0345,1.0000,0.0853,-4.1068, 0.0000, 0.1993
-12.000,-1.1117, 0.02374, 0.01667,-0.0331,1.0000,0.0877,-4.0142, 0.0000, 0.2005
-11.750,-1.1050, 0.02268, 0.01561,-0.0310,1.0000,0.0916,-3.9395, 0.0000, 0.2027
-11.500,-1.0950, 0.02188, 0.01482,-0.0290,1.0000,0.0952,-3.8554, 0.0000, 0.2047
-11.250,-1.0837, 0.02123, 0.01416,-0.0270,1.0000,0.0986,-3.7683, 0.0000, 0.2067
-11.000,-1.0717, 0.02072, 0.01359,-0.0248,1.0000,0.1016,-3.6798, 0.0000, 0.2089
-10.750,-1.0640, 0.02015, 0.01301,-0.0218,1.0000,0.1049,-3.6025, 0.0000, 0.2119
-10.500,-1.0612, 0.01960, 0.01248,-0.0179,1.0000,0.1088,-3.5360, 0.0000, 0.2160
-10.250,-1.0598, 0.01920, 0.01209,-0.0134,1.0000,0.1124,-3.4721, 0.0000, 0.2206
-10.000,-1.0607, 0.01892, 0.01180,-0.0083,1.0000,0.1157,-3.4135, 0.0000, 0.2259
 -9.750,-1.0572, 0.01867, 0.01151,-0.0040,1.0000,0.1189,-3.3452, 0.0000, 0.2303
